text,label
Reminder: Submit your assignment by tonight 09P23nto,Not Spam
Claim your cashback of ₹9489 today obS5zWce,Spam
The event starts at 10 AM tomorrow 7WYRs2Y7,Not Spam
Please find the attached report for your review TyOn2foC,Not Spam
Your order has been shipped and will arrive soon 6lw96UEp,Not Spam
Happy Birthday! Have a great year ahead P3glczMW,Not Spam
Please confirm your availability for the interview F0LlTD2T,Not Spam
The event starts at 10 AM tomorrow H3wW484S,Not Spam
Hot sale on laptop. Don’t miss out J306zoFY,Spam
Limited time offer! Get 15% discount on smartwatch. Buy now BXCbVioo,Spam
You have been selected for a free tablet. Register today vmHM9RCF,Spam
Reminder: Submit your assignment by tonight ODBZBefl,Not Spam
Your order has been shipped and will arrive soon EWGrqxUb,Not Spam
Thank you for your purchase 6X9YexAi,Not Spam
The event starts at 10 AM tomorrow iimiA4Kz,Not Spam
Final reminder: Your loan of ₹8524 is approved 7HzbL1Yn,Spam
Win a brand new smartwatch by entering this contest n7G6U22c,Spam
Earn ₹1537 per day from home. Join now 78wmRV8T,Spam
Thank you for your purchase OwtQDIUM,Not Spam
Limited time offer! Get 24% discount on bike. Buy now XXROFwfG,Spam
Win a brand new laptop by entering this contest uz0mUjQj,Spam
Win a brand new smartwatch by entering this contest 3MR8rG9m,Spam
Happy Birthday! Have a great year ahead 4NCmqYif,Not Spam
Let's catch up over coffee this weekend FR7jm2bA,Not Spam
Win a brand new TV by entering this contest e98ZNOCq,Spam
Let's catch up over coffee this weekend OoO4qRzw,Not Spam
Thank you for your purchase q1K53R0n,Not Spam
Can you send me the project files? h4U5tprt,Not Spam
Please find the attached report for your review vfmUgNUm,Not Spam
Win a brand new bike by entering this contest ZxJD9zZE,Spam
Happy Birthday! Have a great year ahead NJaKczOI,Not Spam
Claim your cashback of ₹9456 today wyW9lI6v,Spam
Happy Birthday! Have a great year ahead m0ojOQbT,Not Spam
Hot sale on bike. Don’t miss out Kqvkf4Cq,Spam
Can you send me the project files? KgammxwV,Not Spam
Happy Birthday! Have a great year ahead Z19eXvHW,Not Spam
Happy Birthday! Have a great year ahead eKsTc6vc,Not Spam
Please confirm your availability for the interview ld1ABETJ,Not Spam
Reminder: Submit your assignment by tonight l65Gid9y,Not Spam
Let's catch up over coffee this weekend sAhQgPWV,Not Spam
Win a brand new headphones by entering this contest aKS54cOk,Spam
Can you send me the project files? Hv4hfRBL,Not Spam
The event starts at 10 AM tomorrow szlptFwW,Not Spam
Claim your cashback of ₹2299 today PKDCuBBc,Spam
Earn ₹4701 per day from home. Join now cl1a5Fm4,Spam
Hot sale on smartwatch. Don’t miss out TM9i1LWy,Spam
Let's catch up over coffee this weekend jOI05NXM,Not Spam
Let's catch up over coffee this weekend 6vEjMIEv,Not Spam
Let's catch up over coffee this weekend jEpHCs4Z,Not Spam
Thank you for your purchase YDXZGGCb,Not Spam
Hot sale on smartwatch. Don’t miss out qEJzpdKk,Spam
The event starts at 10 AM tomorrow PtXQ2YEE,Not Spam
Thank you for your purchase hbuIz9F9,Not Spam
Reminder: Submit your assignment by tonight d3sOP5l2,Not Spam
Hot sale on tablet. Don’t miss out ekzeSDrP,Spam
Please confirm your availability for the interview m5KOk2wM,Not Spam
Win a brand new gift card by entering this contest U2zMMjuZ,Spam
"Hi, can we reschedule our meeting to tomorrow? bUFlHONu",Not Spam
Urgent! Your account is suspended. Verify immediately YqcxTosX,Spam
Happy Birthday! Have a great year ahead L7Zs8hWe,Not Spam
Please find the attached report for your review QKRV4iuG,Not Spam
You have been selected for a free headphones. Register today 5Sju326F,Spam
Limited time offer! Get 80% discount on iPhone. Buy now L8Kc96mh,Spam
Limited time offer! Get 24% discount on headphones. Buy now pUcvpU6w,Spam
Reminder: Submit your assignment by tonight sLdUJuD8,Not Spam
Hot sale on iPhone. Don’t miss out jheJYmnY,Spam
The event starts at 10 AM tomorrow OlIbZA5D,Not Spam
Urgent! Your account is suspended. Verify immediately suLa6FFh,Spam
Reminder: Submit your assignment by tonight XqJI7RMZ,Not Spam
The event starts at 10 AM tomorrow unkouRgu,Not Spam
The event starts at 10 AM tomorrow C1qrqbEH,Not Spam
Urgent! Your account is suspended. Verify immediately Mc4qLEXe,Spam
Exclusive deal on iPhone. Order before it ends OQz50l1v,Spam
You have been selected for a free bike. Register today E5x3hDfl,Spam
The event starts at 10 AM tomorrow hA15gisW,Not Spam
Your order has been shipped and will arrive soon MfXO4FPA,Not Spam
Exclusive deal on TV. Order before it ends pvmcQ2Jz,Spam
Please find the attached report for your review hP55xsJL,Not Spam
Exclusive deal on headphones. Order before it ends XyABlS9u,Spam
Limited time offer! Get 43% discount on laptop. Buy now cwHfNAkW,Spam
Congratulations! You won a smartwatch. Click here to claim now wS6dn2WY,Spam
Happy Birthday! Have a great year ahead nCBRcR9g,Not Spam
Congratulations! You won a gift card. Click here to claim now 14C6IMe9,Spam
Final reminder: Your loan of ₹842 is approved vQoaBdLm,Spam
Thank you for your purchase phgqwCGr,Not Spam
Please confirm your availability for the interview ZocfzhRy,Not Spam
Hot sale on headphones. Don’t miss out G5wQGO9X,Spam
"Hi, can we reschedule our meeting to tomorrow? 1pYmgv80",Not Spam
Urgent! Your account is suspended. Verify immediately vz7ofhGk,Spam
Can you send me the project files? nynzJhzH,Not Spam
Final reminder: Your loan of ₹8971 is approved Rl6a6380,Spam
Please confirm your availability for the interview RBWGqPRs,Not Spam
"Hi, can we reschedule our meeting to tomorrow? Ba18n9gr",Not Spam
Happy Birthday! Have a great year ahead RKueqbfE,Not Spam
You have been selected for a free iPhone. Register today f3gGGc8u,Spam
Please find the attached report for your review tEibV86g,Not Spam
Reminder: Submit your assignment by tonight aogPwdla,Not Spam
Win a brand new laptop by entering this contest T5aqtpRG,Spam
Can you send me the project files? 5Do40zNu,Not Spam
Hot sale on smartwatch. Don’t miss out 4OjUdU56,Spam
The event starts at 10 AM tomorrow 3kpyt45B,Not Spam
Win a brand new gift card by entering this contest 6hkDwwOc,Spam
Limited time offer! Get 78% discount on laptop. Buy now vPG99Bf1,Spam
Thank you for your purchase PcCHv1wN,Not Spam
The event starts at 10 AM tomorrow vnQiUuHB,Not Spam
Win a brand new headphones by entering this contest zomk70vR,Spam
Happy Birthday! Have a great year ahead EqOsyLN2,Not Spam
Reminder: Submit your assignment by tonight 47KA936J,Not Spam
Your order has been shipped and will arrive soon 63fr2W9b,Not Spam
"Hi, can we reschedule our meeting to tomorrow? wTwdIYf1",Not Spam
Earn ₹4809 per day from home. Join now PJPkJLtk,Spam
Win a brand new smartwatch by entering this contest 9WIFhFiv,Spam
Your order has been shipped and will arrive soon PMIJD1i6,Not Spam
Your order has been shipped and will arrive soon WpZBZWKg,Not Spam
Please confirm your availability for the interview olDM0DyU,Not Spam
Reminder: Submit your assignment by tonight hHPUqFPm,Not Spam
Claim your cashback of ₹9889 today cQQL0aXS,Spam
Reminder: Submit your assignment by tonight WPXS5zcl,Not Spam
Thank you for your purchase 4mIwsCIY,Not Spam
Please confirm your availability for the interview H5ANjQ0U,Not Spam
Reminder: Submit your assignment by tonight OK7Cbz3m,Not Spam
Limited time offer! Get 47% discount on headphones. Buy now wpjH4iGq,Spam
Please find the attached report for your review 6NYai0MK,Not Spam
Your order has been shipped and will arrive soon Lvb4NzJl,Not Spam
Urgent! Your account is suspended. Verify immediately 2DcGnmoz,Spam
Win a brand new laptop by entering this contest SB3Q4HyL,Spam
Thank you for your purchase eX2ngNS4,Not Spam
"Hi, can we reschedule our meeting to tomorrow? azUib0P2",Not Spam
Happy Birthday! Have a great year ahead n0VwnzQD,Not Spam
Hot sale on TV. Don’t miss out jafKD9dM,Spam
Reminder: Submit your assignment by tonight FiQEBhgD,Not Spam
Reminder: Submit your assignment by tonight F3EJv5Gt,Not Spam
You have been selected for a free headphones. Register today Ko0fPfho,Spam
You have been selected for a free bike. Register today EWs8bBwl,Spam
You have been selected for a free gift card. Register today rK1Dn6t7,Spam
Urgent! Your account is suspended. Verify immediately R8HAuHf5,Spam
"Hi, can we reschedule our meeting to tomorrow? gmfECOtB",Not Spam
Reminder: Submit your assignment by tonight 2yeSUONf,Not Spam
Congratulations! You won a smartwatch. Click here to claim now Exh6YuBb,Spam
Claim your cashback of ₹2231 today pGxsLThe,Spam
Hot sale on gift card. Don’t miss out 5LLJx0C6,Spam
Limited time offer! Get 42% discount on smartwatch. Buy now wYmrqsZR,Spam
Reminder: Submit your assignment by tonight A9mmw8Pe,Not Spam
Reminder: Submit your assignment by tonight kEl9ERuc,Not Spam
Final reminder: Your loan of ₹4574 is approved c193qn4u,Spam
You have been selected for a free gift card. Register today pJzvpTQW,Spam
Happy Birthday! Have a great year ahead r78TBfTg,Not Spam
Win a brand new bike by entering this contest oWxPmP7D,Spam
Thank you for your purchase nL9eCNym,Not Spam
Thank you for your purchase kJVv6jAl,Not Spam
"Hi, can we reschedule our meeting to tomorrow? OmyzEONY",Not Spam
Happy Birthday! Have a great year ahead 2LrTp2Hl,Not Spam
Please find the attached report for your review 7crnreL2,Not Spam
Limited time offer! Get 73% discount on headphones. Buy now wsWWVILW,Spam
Final reminder: Your loan of ₹217 is approved RvfYrYZ3,Spam
Please confirm your availability for the interview O4DfYJM1,Not Spam
Exclusive deal on gift card. Order before it ends BXUJZuPX,Spam
Congratulations! You won a gift card. Click here to claim now Y0j5TfHl,Spam
Exclusive deal on bike. Order before it ends BJiFe1r6,Spam
The event starts at 10 AM tomorrow VRZREUFq,Not Spam
Urgent! Your account is suspended. Verify immediately Eb9LbZQq,Spam
Final reminder: Your loan of ₹781 is approved 98ABUdyG,Spam
Please confirm your availability for the interview hrH87U2s,Not Spam
Final reminder: Your loan of ₹9808 is approved GjTcSrXa,Spam
Urgent! Your account is suspended. Verify immediately 7Xni1J4y,Spam
Final reminder: Your loan of ₹3958 is approved VQ6Q6C4A,Spam
Happy Birthday! Have a great year ahead DiBIg4lq,Not Spam
Can you send me the project files? bRCcbcFm,Not Spam
Let's catch up over coffee this weekend iGeCVebl,Not Spam
Can you send me the project files? IZG9F6KX,Not Spam
Thank you for your purchase 7ZIpF32T,Not Spam
"Hi, can we reschedule our meeting to tomorrow? tj4x1c39",Not Spam
Urgent! Your account is suspended. Verify immediately X21LN0AA,Spam
"Hi, can we reschedule our meeting to tomorrow? 9dqfIAqu",Not Spam
Final reminder: Your loan of ₹674 is approved q0gTbkAp,Spam
Your order has been shipped and will arrive soon DcURXVRG,Not Spam
Thank you for your purchase A4wi93Ut,Not Spam
Please confirm your availability for the interview qUiQlhzY,Not Spam
Let's catch up over coffee this weekend v7Hw5HNL,Not Spam
Please find the attached report for your review ZU0ZB2FH,Not Spam
Can you send me the project files? UIdc69n8,Not Spam
Claim your cashback of ₹3657 today e6KHYd2N,Spam
Limited time offer! Get 59% discount on bike. Buy now IPxehv8x,Spam
Can you send me the project files? DXqt7pOw,Not Spam
Reminder: Submit your assignment by tonight nTrKSrxZ,Not Spam
Earn ₹278 per day from home. Join now ODGlV9BI,Spam
